Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid,Gold_Spread,Sov_Old_Spread,Sov_New_Upto1973_Spread,Sov_New_Post1974_Spread
2009-03-12,22.22,24.91,165.41,192.46,165.41,192.46,165.41,192.46,-2.69,-27.05,-27.05,-27.05
2009-03-13,22.22,24.92,163.63,192.86,163.63,192.86,163.63,192.86,-2.7,-29.23,-29.23,-29.23
2009-03-16,21.96,24.65,161.9,190.82,161.9,190.82,161.9,190.82,-2.69,-28.92,-28.92,-28.92
2009-03-18,21.64,24.28,159.61,189.24,159.61,189.24,159.61,189.24,-2.64,-29.63,-29.63,-29.63
2009-03-19,21.4,23.99,158.11,186.95,158.11,186.95,158.11,186.95,-2.59,-28.84,-28.84,-28.84
2009-03-20,21.78,24.44,160.57,190.78,160.57,190.78,160.57,190.78,-2.66,-30.21,-30.21,-30.21
2009-03-23,21.61,24.25,159.85,189.16,159.85,189.16,159.85,189.16,-2.64,-29.31,-29.31,-29.31
2009-03-24,21.4,24,158.17,187.48,158.17,187.48,158.17,187.48,-2.6,-29.31,-29.31,-29.31
2009-03-30,21.8,24.45,160.97,191.22,160.97,191.22,160.97,191.22,-2.65,-30.25,-30.25,-30.25
2009-03-31,21.54,24.15,158.64,188.68,158.64,188.68,158.64,188.68,-2.61,-30.04,-30.04,-30.04
2009-04-03,20.91,23.45,154.23,183,154.23,183,154.23,183,-2.54,-28.77,-28.77,-28.77
2009-04-06,20.12,22.57,148.27,175.8,148.27,175.8,148.27,175.8,-2.45,-27.53,-27.53,-27.53
2009-04-07,20.36,22.84,150.43,178.36,150.43,178.36,150.43,178.36,-2.48,-27.93,-27.93,-27.93
2009-04-08,20.88,23.42,154.05,182.42,154.05,182.42,154.05,182.42,-2.54,-28.37,-28.37,-28.37
2009-04-09,20.65,23.16,152.12,181.03,152.12,181.03,152.12,181.03,-2.51,-28.91,-28.91,-28.91
2009-04-13,20.94,23.48,154.21,183.4,154.21,183.4,154.21,183.4,-2.54,-29.19,-29.19,-29.19
2009-04-21,21.23,23.82,156.79,185.66,156.79,185.66,156.79,185.66,-2.59,-28.87,-28.87,-28.87
2009-04-24,21.5,24.1,158.28,188.48,158.28,188.48,158.28,188.48,-2.6,-30.2,-30.2,-30.2
2009-04-29,21.03,23.58,154.84,184.04,154.84,184.04,154.84,184.04,-2.55,-29.2,-29.2,-29.2
2009-05-04,20.78,23.29,153.15,182.03,153.15,182.03,153.15,182.03,-2.51,-28.88,-28.88,-28.88
2009-05-05,20.99,23.53,154.87,183.75,154.87,183.75,154.87,183.75,-2.54,-28.88,-28.88,-28.88
2009-05-07,21.25,23.82,156.43,186.28,156.43,186.28,156.43,186.28,-2.57,-29.85,-29.85,-29.85
2009-05-11,20.82,23.34,153.93,182.33,153.93,182.33,153.93,182.33,-2.52,-28.4,-28.4,-28.4
2009-05-13,21.03,23.58,155.15,184.33,155.15,184.33,155.15,184.33,-2.55,-29.18,-29.18,-29.18
